Access Type,Super Admin,Admin,Engineer,Developer,Tester,Production Support
Everything,X,,,,,
|- Cloud Intelligence,X,X,X,X,X,X
..|- Dashboard,X,X,X,X,X,X
....|- View,X,X,X,X,X,X
....|- Modify,X,X,X,X,X,X
.......|- Add and Remove a Widget,X,X,X,X,X,X
.......|- Reset Dashboard Widgets,X,X,X,X,X,X
..|- Reports,X,X,,,,
....|- Dashboard Widgets,X,X,,,,
.......|- Operate,X,X,,,,
..........|- Generate Content,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Copy,X,X,,,,
..........|- Delete,X,X,,,,
..........|- Edit,X,X,,,,
....|- Dashboards,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Copy,X,X,,,,
..........|- Delete,X,X,,,,
..........|- Edit,X,X,,,,
..........|- Edit Sequence,X,X,,,,
....|- Edit Report Menus,X,X,,,,
....|- Import / Export,X,X,,,,
....|- Reports,X,X,,,,
.......|- View,X,X,,,,
.......|- Operate,X,X,,,,
..........|- Run a selected Report,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Copy,X,X,,,,
..........|- Copy,X,X,,,,
..........|- Delete,X,X,,,,
..........|- Download CSV Format,X,X,,,,
..........|- Download PDF Format,X,X,,,,
..........|- Download Text Format,X,X,,,,
..........|- Edit,X,X,,,,
....|- Saved Reports,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Delete,X,X,,,,
....|- Schedules,X,X,,,,
.......|- Operate,X,X,,,,
..........|- Run Now,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Copy,X,X,,,,
..........|- Delete,X,X,,,,
..........|- Disable,X,X,,,,
..........|- Edit,X,X,,,,
..........|- Enable,X,X,,,,
..|- Chargeback,X,X,,,,
....|- Assignments,X,X,,,,
....|- Rates,X,X,,,,
.......|- Add,X,X,,,,
..........|- Copy,X,X,,,,
.......|- Copy,X,X,,,,
.......|- Delete,X,X,,,,
.......|- Edit,X,X,,,,
....|- Reports,X,X,,,,
..|- Timelines,X,X,X,X,X,X
..|- RSS,X,X,X,X,X,X
|- Services,X,X,X,X,X,X
..|- My Services,X,X,X,X,X,X
....|- All Services,X,X,X,X,X,X
.......|- View All Services,X,X,X,X,X,X
.......|- Operate,X,X,X,X,X,X
..........|- Edit Tags,X,X,,,,
..........|- Retire Services,X,X,X,X,X,X
..........|- Set Retirement Date,X,X,X,X,X,X
.......|- Modify,X,X,X,X,X,X
..........|- Set Ownership,X,X,,,,
..........|- Edit Services,X,X,X,X,X,X
..........|- Remove Services,X,X,X,X,X,X
..|- Catalogs Explorer,X,X,X,X,X,X
....|- Catalog Items,X,X,,,,
.......|- View Catalog Items,X,X,,,,
.......|- Operate,X,X,,,,
..........|- Edit Tags,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add Atomic Catalog Item,X,X,,,,
..........|- Add Composite Catalog Item,X,X,,,,
..........|- Edit Atomic Catalog Item,X,X,,,,
..........|- Edit Composite Catalog Item,X,X,,,,
..........|- Remove Catalog Item,X,X,,,,
....|- Catalogs,X,X,X,X,X,X
.......|- View Catalogs,X,X,X,X,X,X
.......|- Modify,X,X,,,,
..........|- Add Catalog,X,X,,,,
..........|- Edit Catalog,X,X,,,,
..........|- Remove Catalog,X,X,,,,
....|- Service Catalogs,X,X,X,X,X,X
.......|- Modify,X,X,X,X,X,X
..........|- Provision Services,X,X,X,X,X,X
..|- Requests,X,X,X,X,X,X
....|- View,X,X,X,X,X,X
.......|- List,X,X,X,X,X,X
.......|- Show,X,X,X,X,X,X
....|- Operate,X,X,,,,
.......|- Approve and Deny,X,X,,,,
....|- Modify,X,X,X,X,X,X
.......|- Copy,X,X,X,X,X,X
.......|- Delete,X,X,X,X,X,X
.......|- Edit,X,X,X,X,X,X
..|- Workloads,X,X,X,X,X,X
....|- Accordions,X,X,X,X,X,X
.......|- Templates & Images,X,X,X,X,X,X
.......|- VMs & Instances,X,X,X,X,X,X
|- Clouds,X,X,X,X,X,X
..|- Cloud Providers,X,X,X,X,X,X
....|- View,X,X,X,X,X,X
.......|- List,X,X,X,X,X,X
.......|- Show,X,X,X,X,X,X
.......|- Timeline,X,X,X,X,X,X
....|- Operate,X,X,,,,
.......|- Discover,X,X,,,,
.......|- Edit Tags,X,X,,,,
.......|- Manage Policies,X,X,,,,
.......|- Refresh,X,X,,,,
....|- Modify,X,X,,,,
.......|- Add,X,X,,,,
.......|- Edit,X,X,,,,
.......|- Remove,X,X,,,,
..|- Availability Zones,X,X,,,,
....|- View,X,X,,,,
.......|- List,X,X,,,,
.......|- Show,X,X,,,,
.......|- Timeline,X,X,,,,
.......|- Utilization,X,X,,,,
....|- Operate,X,X,,,,
.......|- Edit Tags,X,X,,,,
..|- Flavors,X,X,,,,
....|- View,X,X,,,,
.......|- List,X,X,,,,
